SystemName,3.1.1,3.1.2,3.1.3,3.2.1,3.2.2,3.2.3,3.3.1,3.3.2,3.3.3,3.4.1,3.4.2,3.4.3,3.5.1,3.5.2,3.5.3,3.6.1,3.6.2,3.6.3,3.7.1,3.7.2,3.7.3,3.8.1,3.8.2,3.8.3,3.9.1,3.9.2,3.9.3,Result,Compliance Status
System-42,62,3,57,5,25,18,95,59,56,1,71,66,28,8,44,99,86,17,83,60,79,82,18,65,26,72,34,49,Not Compliant
System-43,37,55,25,30,34,70,73,85,65,74,44,69,16,21,40,33,55,69,70,16,96,0,9,14,92,43,6,46,Not Compliant
System-44,83,85,83,85,84,92,91,94,98,87,91,99,87,83,96,95,81,94,82,97,94,86,83,96,89,93,87,90,Compliant
System-45,14,80,17,49,99,84,51,72,78,30,56,56,39,69,6,81,47,62,44,33,36,56,93,25,1,12,86,51,Not Compliant
System-46,97,54,27,44,96,69,17,59,63,63,56,52,63,30,34,53,80,44,36,25,30,0,81,84,34,46,0,50,Not Compliant
System-47,77,44,73,3,46,77,52,98,47,68,31,32,62,4,93,52,25,63,19,88,86,21,11,63,32,16,27,49,Not Compliant
System-48,11,52,6,83,12,87,20,48,9,57,83,65,52,70,25,36,60,7,93,20,49,88,7,80,6,55,93,48,Not Compliant
System-49,15,3,35,13,36,58,23,81,9,39,91,73,72,79,17,82,68,57,90,59,30,73,57,7,5,77,34,48,Not Compliant
System-50,5,94,92,86,82,1,69,11,45,2,20,53,20,52,25,48,72,14,69,1,58,66,4,17,28,78,61,44,Not Compliant
System-51,99,97,14,93,91,31,55,94,11,31,87,72,76,88,41,41,44,93,89,93,27,77,10,18,76,61,26,61,Not Compliant
System-52,96,91,91,99,84,85,91,97,87,97,91,90,83,96,83,85,99,81,85,82,96,88,82,98,90,81,92,90,Compliant
System-53,82,80,89,80,82,97,95,94,86,94,81,99,93,81,96,95,95,97,84,98,80,99,94,90,87,98,82,90,Compliant
System-54,49,23,45,95,21,30,11,78,77,91,44,2,48,50,19,92,73,52,77,14,87,82,93,67,13,72,45,54,Not Compliant
System-55,22,86,61,91,39,69,66,78,88,45,3,47,35,46,17,76,60,12,10,81,79,32,64,79,53,40,41,53,Not Compliant
System-56,70,39,31,38,38,54,66,47,18,38,92,83,15,99,67,13,7,1,72,48,43,99,8,64,41,45,78,49,Not Compliant
System-57,13,28,85,1,11,17,59,15,44,80,26,70,48,79,86,34,8,14,93,15,49,99,77,23,44,63,21,45,Not Compliant
System-58,96,89,69,25,46,93,63,92,27,42,90,76,32,16,7,77,38,33,6,95,26,44,49,92,61,17,49,54,Not Compliant
System-59,83,44,99,3,5,78,4,11,80,66,45,67,87,14,57,92,3,14,65,47,91,4,70,13,17,4,30,45,Not Compliant
System-60,53,21,77,65,27,19,79,68,96,47,17,67,4,64,28,43,33,80,75,4,74,92,17,78,48,11,89,51,Not Compliant
System-61,82,45,24,55,1,73,94,13,29,64,9,47,30,70,85,74,2,45,77,87,40,78,37,46,63,86,7,51,Not Compliant
System-62,62,29,96,54,13,34,44,64,29,6,87,23,94,64,41,34,64,32,59,69,84,44,30,13,78,17,26,48,Not Compliant
System-63,53,44,67,8,51,19,31,60,94,90,36,14,85,36,37,28,35,97,87,8,72,44,99,80,28,80,97,55,Not Compliant
System-64,28,52,93,51,76,18,9,75,54,87,82,68,30,68,68,9,58,82,1,51,37,48,34,91,10,15,22,49,Not Compliant
System-65,19,28,90,53,97,9,21,50,70,36,58,43,95,18,35,37,21,22,11,98,12,11,13,76,70,55,4,43,Not Compliant
System-66,76,79,20,66,49,26,34,85,54,95,3,43,91,38,31,37,45,3,55,86,30,70,49,13,71,48,10,49,Not Compliant
System-67,22,74,9,84,9,33,6,80,47,20,79,65,30,80,43,53,20,40,62,45,76,18,1,70,86,57,21,46,Not Compliant
System-68,88,23,12,80,32,58,38,74,23,42,14,17,96,43,25,58,49,37,94,31,42,68,96,87,93,36,71,53,Not Compliant
System-69,84,68,79,31,47,73,26,68,82,79,19,41,18,87,94,88,22,94,92,64,62,90,97,19,70,16,40,62,Not Compliant
System-70,99,89,89,97,95,93,80,89,90,82,91,84,95,96,82,88,86,81,82,92,86,90,81,93,85,82,96,89,Compliant
System-71,86,8,85,16,77,28,75,65,12,49,43,80,31,68,13,66,83,51,48,88,47,56,42,75,81,61,43,55,Not Compliant
System-72,67,69,39,30,12,1,11,1,97,85,20,64,64,43,62,79,19,30,46,47,2,16,15,70,96,47,85,46,Not Compliant
System-73,4,1,88,35,15,82,89,3,6,43,61,12,22,25,34,35,4,87,26,15,69,51,66,70,92,43,45,42,Not Compliant
System-74,68,55,30,74,90,0,27,52,92,70,44,20,54,78,65,69,88,78,40,19,30,3,33,72,74,12,99,54,Not Compliant
System-75,12,71,12,70,86,11,21,47,74,94,36,95,60,40,12,57,4,15,37,99,30,48,79,14,58,4,89,48,Not Compliant
System-76,31,25,11,9,16,14,25,8,30,40,16,61,32,2,5,38,32,41,32,37,82,12,20,75,58,49,75,33,Not Compliant
System-77,1,69,64,0,47,90,67,41,89,70,76,53,78,64,7,3,83,67,67,35,81,82,35,17,76,69,0,53,Not Compliant
System-78,57,2,73,97,42,7,24,16,31,62,9,47,80,59,62,33,25,10,23,34,5,33,79,94,77,61,76,46,Not Compliant
System-79,42,19,20,90,78,34,66,69,98,59,33,57,96,61,41,16,45,78,4,21,0,22,23,62,23,73,95,50,Not Compliant
System-80,6,50,75,64,50,49,46,32,37,69,71,49,26,40,92,58,3,21,20,86,39,30,88,57,93,37,55,50,Not Compliant
System-81,86,87,85,97,92,91,82,92,88,99,93,83,83,81,84,99,82,87,83,96,86,80,86,91,99,93,83,89,Compliant
System-82,99,83,85,91,97,84,95,86,99,90,85,80,80,95,95,95,94,87,86,90,95,86,96,93,86,98,92,91,Compliant
System-83,56,18,20,54,93,12,21,35,17,40,31,38,45,6,81,64,36,6,21,30,59,98,10,53,99,85,17,43,Not Compliant
System-84,20,9,59,83,93,23,7,72,31,72,24,17,24,28,44,63,27,78,8,97,39,16,44,50,73,76,81,47,Not Compliant
System-85,58,90,51,18,42,82,25,30,96,65,38,30,41,87,72,8,63,77,34,14,74,93,39,30,98,81,0,54,Not Compliant
System-86,69,81,36,61,65,47,41,18,98,95,81,1,36,4,80,32,44,60,40,61,8,42,93,93,98,85,90,58,Not Compliant
System-87,53,84,97,31,36,67,79,51,60,22,39,53,46,14,94,83,49,45,60,14,66,80,70,59,30,99,12,56,Not Compliant
System-88,59,96,62,40,3,24,48,68,95,65,37,69,79,65,77,86,65,27,65,36,12,8,48,66,50,2,57,53,Not Compliant
System-89,95,60,21,35,12,62,7,25,38,90,40,8,25,42,69,53,7,73,99,69,19,37,65,82,60,41,15,47,Not Compliant
System-90,85,94,40,31,9,7,72,94,16,5,74,55,49,87,96,42,50,73,47,51,99,88,69,40,61,91,74,60,Not Compliant
System-91,96,85,83,80,80,97,96,86,89,93,83,92,97,95,85,84,84,93,91,80,88,87,96,86,82,80,92,89,Compliant
System-92,10,18,94,36,30,9,1,55,86,33,74,36,77,52,37,65,21,38,88,13,74,12,58,91,65,19,70,47,Not Compliant
System-93,24,82,53,0,34,60,36,8,70,54,72,40,61,32,5,81,82,21,96,17,97,53,97,77,78,10,74,53,Not Compliant
System-94,12,82,10,29,51,83,14,91,2,42,14,65,22,87,38,88,82,11,16,11,10,95,35,61,11,92,91,47,Not Compliant
System-95,86,81,29,14,85,97,91,24,82,5,13,96,70,37,2,96,37,70,66,7,83,87,3,36,7,7,56,51,Not Compliant
System-96,79,4,31,94,0,35,28,39,19,75,72,97,70,9,40,74,10,80,15,58,38,58,85,29,15,46,88,48,Not Compliant
System-97,62,64,74,24,82,0,85,29,15,39,7,38,46,9,46,64,90,46,8,73,91,92,76,19,32,31,99,50,Not Compliant
System-98,85,96,95,81,81,84,84,84,87,88,91,93,85,93,88,91,95,82,85,80,93,86,86,92,95,80,81,88,Compliant
System-99,24,97,19,64,82,80,57,12,63,97,17,90,51,43,9,80,50,63,78,84,62,26,55,94,20,9,43,55,Not Compliant
System-100,86,11,21,32,21,72,93,26,48,95,34,55,29,74,49,51,39,19,17,68,88,28,39,58,76,31,79,50,Not Compliant
System-101,98,91,28,84,40,89,91,3,64,6,9,80,72,27,75,40,55,31,61,39,69,45,84,96,12,37,61,56,Not Compliant
System-102,50,91,21,36,97,86,51,78,18,27,16,30,86,64,14,87,74,24,89,18,2,66,45,26,92,8,43,50,Not Compliant
System-103,99,83,52,16,14,9,30,73,45,73,98,25,48,36,1,35,71,89,77,85,90,59,11,68,72,2,97,54,Not Compliant
System-104,58,8,21,47,35,81,63,42,96,9,26,30,31,56,67,32,57,68,19,13,55,30,8,56,62,54,37,43,Not Compliant
System-105,44,5,12,40,98,82,84,54,82,68,85,61,43,63,18,81,65,17,74,54,47,29,66,95,49,66,39,57,Not Compliant
System-106,75,42,6,61,11,84,7,76,60,84,92,32,69,37,98,57,19,25,43,28,20,16,81,80,19,58,62,50,Not Compliant
System-107,70,76,3,98,94,59,61,8,55,94,27,4,3,50,65,43,30,84,97,2,5,77,81,53,86,68,73,55,Not Compliant
System-108,14,97,69,64,45,11,49,3,27,38,82,8,27,60,49,86,38,4,20,18,43,5,30,54,34,2,60,39,Not Compliant
System-109,14,61,4,11,3,68,86,57,4,71,6,71,25,25,67,85,35,71,60,34,7,44,51,23,32,37,82,42,Not Compliant
System-110,56,82,12,53,77,40,58,13,26,28,31,8,42,98,57,63,77,89,87,1,12,26,55,93,74,12,3,48,Not Compliant
System-111,28,91,98,75,92,66,14,20,83,75,2,90,95,53,79,0,83,2,20,94,57,73,52,83,29,10,70,57,Not Compliant
System-112,9,11,88,75,28,96,32,66,11,46,31,11,69,70,77,48,80,48,41,23,29,50,88,78,6,77,26,49,Not Compliant
System-113,60,15,73,79,19,60,31,32,51,2,27,20,26,65,47,29,9,96,56,48,90,53,24,1,49,39,37,43,Not Compliant
System-114,52,61,37,65,14,52,20,61,71,51,25,46,93,92,72,85,13,52,82,0,41,15,6,97,31,18,69,49,Not Compliant
System-115,71,83,56,49,78,68,55,43,34,2,36,46,67,72,21,55,99,93,38,17,74,1,44,52,0,31,9,48,Not Compliant
System-116,35,34,56,69,56,46,11,9,72,18,59,96,76,78,21,37,8,72,24,83,64,90,19,75,13,5,70,48,Not Compliant
System-117,33,67,30,97,87,76,90,50,42,77,95,40,2,51,92,88,96,94,19,97,75,12,33,95,97,30,76,65,Not Compliant
System-118,8,68,10,86,80,1,31,57,38,45,48,95,40,77,30,25,63,60,80,45,37,47,33,53,36,78,98,51,Not Compliant
System-119,11,19,26,30,51,85,24,79,37,47,76,43,74,77,27,67,60,90,67,27,40,1,41,12,26,59,97,48,Not Compliant
System-120,88,96,76,31,53,39,85,49,46,82,44,92,17,28,53,33,46,17,90,38,65,97,41,63,61,13,61,56,Not Compliant
System-121,12,14,26,82,75,11,16,41,33,91,79,21,9,64,7,89,49,24,25,29,44,78,69,56,59,76,14,45,Not Compliant
System-122,87,97,5,56,24,25,73,68,65,24,68,45,4,60,55,9,19,83,6,90,52,6,22,58,58,46,53,47,Not Compliant
System-123,15,95,98,65,78,77,26,93,47,85,30,14,33,35,74,44,42,39,41,76,40,96,35,80,97,76,1,57,Not Compliant
System-124,25,74,2,11,41,39,48,4,52,91,51,1,43,3,50,79,79,49,57,63,73,56,97,78,53,79,84,52,Not Compliant
System-125,44,39,20,38,81,9,17,91,72,12,75,12,48,60,74,31,19,98,79,35,25,11,45,0,80,40,85,46,Not Compliant
System-126,63,31,46,90,12,65,36,61,71,47,74,85,19,21,12,94,22,8,9,40,88,10,22,18,65,32,97,46,Not Compliant
System-127,84,22,1,73,35,60,15,85,52,80,36,23,94,53,37,10,16,63,61,84,75,15,94,60,85,27,95,54,Not Compliant
System-128,10,99,60,59,36,86,66,83,96,42,63,86,28,72,27,25,50,41,83,98,8,10,80,24,49,59,66,56,Not Compliant
System-129,82,10,72,63,31,49,18,38,26,70,35,80,89,75,95,32,11,58,90,70,56,75,53,39,69,19,9,53,Not Compliant
System-130,72,71,64,55,98,46,57,5,61,49,43,95,17,55,55,5,34,86,14,68,6,71,56,94,72,71,49,55,Not Compliant
System-131,80,82,85,88,95,94,98,84,83,81,99,85,88,95,80,91,93,89,93,93,82,84,86,94,94,90,82,89,Compliant
System-132,18,96,5,82,87,73,52,17,37,69,91,9,94,89,71,7,20,20,64,1,92,20,68,92,0,24,81,52,Not Compliant
System-133,14,59,4,93,76,18,21,31,56,94,34,95,92,35,20,64,39,15,29,6,18,19,65,43,87,6,24,43,Not Compliant
System-134,39,72,20,21,19,19,87,65,61,90,54,76,40,64,21,14,10,65,30,83,77,62,5,21,55,15,38,46,Not Compliant
System-135,68,81,93,58,18,89,97,94,56,88,98,88,6,13,30,39,14,99,79,66,96,32,71,94,8,60,79,64,Not Compliant
System-136,62,87,46,87,78,10,12,70,19,74,8,9,95,0,79,23,4,7,32,52,47,19,98,60,18,28,67,45,Not Compliant
System-137,89,45,14,75,41,2,13,31,98,63,39,1,79,66,17,59,18,9,39,14,33,2,39,30,95,54,22,41,Not Compliant
System-138,44,77,79,27,14,84,5,24,63,32,82,48,14,27,32,98,60,53,82,64,95,59,12,73,73,19,79,53,Not Compliant
System-139,11,91,26,23,64,55,5,84,22,4,21,23,15,87,50,32,75,67,1,76,49,66,69,55,4,58,20,43,Not Compliant
System-140,92,90,92,87,80,94,81,85,87,94,85,95,99,92,99,98,87,90,89,85,90,88,98,87,83,95,85,90,Compliant
System-141,25,13,92,64,45,53,68,88,34,91,98,14,34,63,74,85,57,97,79,82,39,82,88,99,54,51,57,64,Not Compliant
System-142,62,35,97,49,2,3,48,90,47,54,8,72,71,92,45,74,24,98,3,30,77,85,21,41,1,12,86,50,Not Compliant
System-143,44,99,37,26,6,78,18,41,55,23,14,13,70,1,5,78,11,66,58,0,88,13,92,86,80,18,47,44,Not Compliant
System-144,57,46,9,48,34,51,63,25,26,27,28,51,31,90,90,56,34,30,82,51,41,26,42,65,76,89,13,48,Not Compliant
System-145,61,57,26,55,84,15,55,31,21,80,82,20,61,95,9,74,97,26,48,9,84,22,45,16,17,22,10,46,Not Compliant
System-146,8,91,9,69,5,7,93,45,29,85,27,91,22,31,52,23,9,5,65,78,95,94,17,54,94,89,23,49,Not Compliant
System-147,19,1,43,63,14,86,79,74,64,30,24,1,22,43,48,46,46,88,46,41,5,94,89,92,29,5,46,46,Not Compliant
System-148,93,99,93,94,81,89,95,93,81,88,80,82,94,91,97,94,88,92,85,89,83,94,80,86,99,88,82,90,Compliant
System-149,99,87,98,95,93,96,84,81,82,93,98,82,95,88,97,95,87,94,99,97,92,87,82,99,99,87,88,92,Compliant
System-150,48,98,14,88,24,60,95,90,72,41,77,63,71,80,37,0,48,82,50,21,33,65,73,50,53,88,99,60,Not Compliant
System-151,88,97,81,81,96,99,91,85,92,95,91,98,87,83,91,96,99,96,89,98,81,98,96,91,88,81,85,91,Compliant
System-152,72,34,62,3,83,31,31,82,29,85,5,30,96,13,25,37,15,33,41,7,53,7,30,29,2,98,32,40,Not Compliant
System-153,54,5,21,66,19,52,34,40,59,91,28,24,85,12,42,64,49,97,40,19,25,12,18,64,11,67,13,42,Not Compliant
System-154,64,14,26,37,25,9,86,51,31,40,6,95,10,89,25,24,95,93,85,57,92,92,62,97,0,95,32,54,Not Compliant
System-155,99,79,88,10,50,22,57,0,69,93,75,55,16,73,98,57,66,19,82,23,4,17,82,19,29,6,44,50,Not Compliant
System-156,17,87,79,24,5,85,54,7,53,8,52,9,26,54,82,4,49,83,13,79,69,8,14,44,42,63,8,42,Not Compliant
System-157,32,66,36,82,78,37,4,71,62,5,20,41,85,55,61,78,1,62,63,93,92,18,6,26,4,12,39,46,Not Compliant
System-158,91,77,73,36,55,50,17,98,33,97,46,83,6,68,3,68,5,85,23,91,20,76,35,82,25,31,70,54,Not Compliant
System-159,52,77,28,53,22,39,47,83,58,75,40,17,72,94,60,50,7,45,33,41,9,93,69,85,29,51,40,51,Not Compliant
System-160,37,69,1,82,50,99,58,6,28,57,93,71,45,25,80,40,59,57,94,42,62,80,86,65,83,64,75,60,Not Compliant
System-161,80,78,40,76,54,14,66,9,55,57,34,63,92,21,56,80,9,83,88,76,80,31,33,92,12,84,77,58,Not Compliant
System-162,92,92,98,56,93,6,77,2,93,67,26,97,19,45,8,13,93,35,93,20,91,40,46,92,46,20,99,58,Not Compliant
System-163,17,68,31,2,22,75,95,2,78,58,71,42,68,99,45,70,40,93,23,40,77,14,79,36,0,54,8,49,Not Compliant
System-164,39,19,76,65,2,61,27,78,96,6,62,97,49,53,38,14,62,91,50,71,15,83,32,57,49,74,79,54,Not Compliant
System-165,93,10,71,36,2,64,51,95,94,55,1,32,48,68,82,22,19,62,11,67,51,57,92,11,48,48,4,48,Not Compliant
System-166,33,33,74,66,54,33,58,96,79,31,71,61,17,12,95,91,96,81,42,33,13,85,88,4,80,37,22,55,Not Compliant
System-167,16,47,51,8,45,78,89,48,32,74,36,62,48,37,86,94,32,61,51,77,66,45,89,55,72,39,54,56,Not Compliant
System-168,46,52,49,11,49,89,32,57,55,91,24,14,81,75,9,79,39,79,86,54,17,88,26,55,60,93,88,56,Not Compliant
System-169,5,60,74,8,11,40,12,18,12,72,44,72,66,92,75,93,19,62,72,3,57,43,33,53,66,45,87,48,Not Compliant
System-170,2,22,12,28,65,90,34,26,86,82,68,64,22,71,28,24,12,61,90,40,49,91,63,36,89,30,6,48,Not Compliant
System-171,0,19,67,87,20,40,82,91,43,25,43,39,82,7,58,52,83,69,47,3,97,40,42,31,33,58,75,50,Not Compliant
System-172,43,98,66,2,46,51,81,54,17,8,5,15,66,2,80,62,9,93,93,94,79,23,68,75,57,59,88,54,Not Compliant
System-173,79,42,35,4,89,64,17,28,89,69,55,33,37,10,93,58,85,65,64,18,63,88,92,70,28,60,38,55,Not Compliant
System-174,30,14,12,9,31,3,19,28,2,56,40,6,75,48,91,74,77,12,25,53,75,63,54,95,72,86,46,45,Not Compliant
System-175,58,17,29,37,37,86,78,74,55,43,49,5,78,26,1,79,31,42,36,75,33,89,57,78,30,31,22,48,Not Compliant
System-176,40,26,16,81,7,73,91,5,52,22,75,47,22,34,58,38,75,4,55,97,63,36,26,51,30,12,55,45,Not Compliant
System-177,85,86,78,74,51,71,39,47,28,90,84,34,17,25,91,95,26,42,82,21,53,36,6,60,21,70,55,55,Not Compliant
System-178,88,1,69,38,43,11,91,50,63,67,55,80,48,38,1,8,29,37,79,28,91,23,55,92,64,64,8,49,Not Compliant
System-179,52,53,55,52,63,11,52,68,64,78,7,3,80,42,36,84,56,89,2,59,12,94,13,88,76,35,84,53,Not Compliant
System-180,89,41,95,45,21,13,84,47,17,16,55,32,72,78,0,8,52,94,81,18,68,71,24,13,41,38,93,49,Not Compliant
System-181,72,7,25,4,35,56,61,22,18,46,29,97,78,72,43,52,88,24,87,15,52,40,27,54,3,42,19,44,Not Compliant
System-182,8,13,43,31,79,56,87,5,15,41,81,91,7,11,21,71,18,87,96,65,68,25,63,61,3,28,95,47,Not Compliant
System-183,26,68,71,95,66,57,28,58,96,37,22,0,49,37,84,15,32,21,63,82,7,21,37,25,89,18,10,45,Not Compliant
System-184,34,16,71,55,18,43,95,9,79,72,17,35,91,78,52,90,72,68,56,43,77,50,21,37,55,8,58,52,Not Compliant
System-185,71,49,85,12,87,24,71,4,77,13,9,33,4,25,19,68,82,34,79,23,82,45,35,90,9,53,13,45,Not Compliant
System-186,88,11,29,14,21,41,13,82,34,65,69,26,15,67,85,63,95,53,49,98,95,61,73,93,14,24,31,53,Not Compliant
System-187,93,91,30,8,34,76,59,32,93,57,39,84,18,85,23,45,98,13,36,71,98,26,38,93,28,99,95,58,Not Compliant
System-188,76,70,81,81,93,6,92,36,64,65,4,2,15,85,17,12,30,31,66,94,11,2,30,96,69,12,91,50,Not Compliant
System-189,98,22,96,67,63,18,8,85,66,84,43,70,26,85,77,47,32,75,13,20,96,21,69,15,95,91,50,57,Not Compliant
System-190,7,56,91,34,42,1,93,9,72,59,21,32,54,35,18,47,0,13,25,43,15,1,62,65,9,72,8,37,Not Compliant
System-191,66,43,40,57,59,92,88,8,81,38,34,69,3,85,3,40,35,69,47,3,73,97,56,61,96,44,10,52,Not Compliant
System-192,77,52,85,26,24,10,0,89,57,12,69,11,47,4,32,89,51,19,63,78,37,47,58,85,12,24,4,44,Not Compliant
System-193,65,71,89,56,28,75,95,15,80,8,66,48,88,6,26,99,30,84,5,22,79,83,94,16,81,60,28,56,Not Compliant
System-194,81,72,91,25,88,46,77,10,91,64,69,32,26,10,78,60,86,92,5,35,54,53,92,15,67,62,33,57,Not Compliant
System-195,26,87,38,95,90,74,0,53,19,97,29,44,90,1,50,51,50,58,33,27,2,16,86,61,37,50,34,49,Not Compliant
System-196,85,70,15,81,8,85,9,82,78,37,29,66,88,71,53,86,54,53,99,29,0,76,10,32,55,5,30,52,Not Compliant
System-197,93,74,53,19,39,87,0,63,32,17,24,52,23,70,93,55,16,41,81,17,77,76,6,45,53,43,82,50,Not Compliant
System-198,44,40,46,50,11,96,41,85,64,54,29,66,17,67,99,82,15,39,36,95,39,38,17,86,57,9,32,51,Not Compliant
System-199,45,39,28,60,6,83,17,53,25,52,77,0,87,57,18,66,4,48,66,54,23,59,47,83,74,10,34,45,Not Compliant
System-200,31,42,17,93,18,60,33,21,63,65,43,2,49,48,38,54,68,32,59,60,32,9,82,23,22,0,83,43,Not Compliant
System-201,93,80,88,95,96,97,85,96,82,98,98,88,91,89,91,85,97,99,89,87,82,91,82,95,85,87,90,91,Compliant
System-202,90,66,72,58,43,56,87,82,88,32,70,34,51,94,74,84,5,14,44,58,73,60,89,84,83,82,29,64,Not Compliant
System-203,1,74,12,24,58,1,95,53,85,98,30,64,31,12,72,4,5,53,82,79,85,71,4,32,87,29,71,49,Not Compliant
