,SystemName,1.1.1,1.1.2,1.1.3,1.2.1,1.2.2,1.2.3,1.3.1,1.3.2,1.3.3,1.4.1,1.4.2,1.4.3,1.5.1,1.5.2,1.5.3,1.6.1,1.6.2,1.6.3,1.7.1,1.7.2,1.7.3,1.8.1,1.8.2,1.8.3,1.9.1,1.9.2,1.9.3,Result
13,System-0_13,6,4,5,3,4,2,8,0,5,9,4,4,5,9,6,0,2,3,5,6,8,5,7,9,8,1,5,0
14,System-0_14,2,0,6,5,7,6,5,1,7,1,8,0,5,4,9,6,0,7,2,3,5,2,9,2,1,0,0,0
15,System-0_15,4,0,1,3,1,4,5,9,4,9,2,0,6,9,3,6,7,4,2,4,8,2,9,2,8,9,9,0
16,System-0_16,5,5,5,0,0,3,8,2,2,7,9,8,9,4,8,9,8,4,0,1,6,1,9,4,2,3,9,0
17,System-0_17,5,5,7,5,5,5,2,9,9,9,0,8,7,4,9,4,2,4,3,3,8,5,3,6,2,5,3,0
18,System-0_18,4,1,7,1,6,4,6,2,1,7,8,2,7,5,4,3,4,3,2,2,6,4,6,4,3,6,2,0
19,System-0_19,8,4,7,1,0,3,8,7,3,3,4,6,1,3,8,5,2,9,5,4,9,7,0,2,8,8,4,0
20,System-0_20,6,4,5,8,2,4,2,9,5,9,0,7,8,8,4,9,0,3,3,9,9,3,5,9,0,7,7,0
21,System-0_21,2,6,4,2,3,8,4,8,9,0,3,8,7,4,3,2,8,0,3,4,9,7,2,2,7,0,0,0
22,System-0_22,9,1,8,9,9,9,1,0,0,6,5,1,3,4,9,5,0,5,6,8,9,3,4,1,6,5,7,0
23,System-0_23,9,0,2,5,3,6,8,4,1,9,0,3,4,9,8,8,5,8,9,9,9,7,7,3,9,9,7,0
24,System-0_24,1,5,6,9,4,6,8,4,7,1,9,1,1,8,8,3,8,3,1,0,5,2,5,1,5,1,6,0
25,System-0_25,3,3,1,3,9,7,6,9,4,0,3,9,7,3,1,8,8,1,6,6,7,0,8,4,2,1,3,0
26,System-0_26,3,0,6,2,3,1,5,1,9,7,6,5,0,1,0,8,0,3,1,5,1,9,1,6,0,8,3,0
27,System-0_27,8,2,8,6,0,0,7,4,8,3,1,8,6,8,8,9,4,4,5,7,3,7,5,0,6,0,5,0
28,System-0_28,3,5,9,1,9,2,8,0,5,0,1,5,2,7,7,7,0,9,9,5,6,2,5,0,5,9,4,0
29,System-1_0,4,8,0,8,3,5,7,9,2,3,1,3,0,9,9,0,0,3,5,5,5,2,3,0,7,2,0,0
30,System-1_1,8,6,8,7,6,4,6,7,7,2,0,1,2,5,6,5,9,8,4,0,5,8,1,5,8,2,8,0
31,System-1_2,9,6,5,5,8,9,8,1,6,6,5,1,6,9,2,1,6,1,6,5,5,5,3,7,5,6,9,0
32,System-1_3,1,2,1,9,1,3,3,6,6,1,2,7,0,9,9,8,8,3,2,8,1,4,5,8,3,9,6,0
33,System-1_4,4,9,5,1,0,9,8,3,1,7,8,8,3,8,8,6,8,1,6,1,3,5,4,8,9,5,2,0
34,System-1_5,7,8,2,7,3,8,2,4,8,2,2,8,1,6,6,5,2,2,3,0,6,5,7,1,1,0,6,0
35,System-1_6,4,2,7,8,4,4,9,7,0,5,5,2,8,6,8,1,9,9,7,1,0,7,9,7,4,8,3,0
36,System-1_7,6,8,3,9,5,6,7,2,7,9,4,3,4,1,3,6,5,6,3,5,3,7,3,3,2,1,8,0
37,System-1_8,3,2,9,9,2,9,0,9,4,0,5,5,2,1,8,1,3,7,8,3,8,7,5,6,4,8,4,0
38,System-1_9,3,0,4,5,5,4,1,1,0,6,2,8,3,8,9,1,8,2,9,5,7,5,3,5,6,8,4,0
39,System-1_10,5,5,1,8,2,1,7,1,3,0,0,3,0,4,7,6,8,0,3,1,4,8,1,7,4,5,7,0
40,System-1_11,8,4,3,2,3,2,3,2,5,9,5,2,7,6,2,8,7,6,7,4,6,1,2,8,6,3,7,0
41,System-1_12,7,3,9,1,4,5,3,9,6,2,3,2,8,3,5,4,7,8,9,4,5,7,5,1,3,0,9,0
42,System-1_13,3,6,3,2,3,4,0,3,5,8,2,8,1,0,7,6,1,6,8,6,3,2,3,9,1,1,9,0
43,System-1_14,6,7,3,9,2,2,0,4,6,0,7,4,5,6,5,8,9,7,9,5,9,2,1,7,7,6,9,0
44,System-1_15,1,1,6,0,2,9,1,7,2,5,1,5,8,8,2,3,1,7,5,0,3,1,3,6,6,8,6,0
45,System-1_16,4,5,6,8,9,6,6,4,2,9,2,9,4,1,4,9,3,0,0,8,3,7,8,5,9,2,2,0
46,System-1_17,3,0,4,5,5,2,8,8,1,9,0,6,1,5,2,6,0,6,6,9,6,8,5,5,3,1,7,0
47,System-1_18,2,3,0,4,3,1,7,3,8,1,3,5,4,5,6,1,0,9,0,4,4,7,2,8,4,9,4,0
48,System-1_19,8,5,6,1,2,0,3,8,7,8,7,8,1,6,1,4,4,5,5,8,6,4,8,0,1,7,1,0
49,System-1_20,1,3,2,3,6,4,6,3,0,5,8,2,6,7,7,5,6,2,0,0,0,0,1,2,1,4,6,0
50,System-1_21,9,4,0,7,4,9,6,5,3,8,2,3,7,7,2,6,7,5,6,4,0,0,4,9,9,1,8,0
51,System-1_22,7,9,8,1,9,8,7,1,7,1,7,2,8,9,6,8,4,9,2,2,9,3,1,3,1,1,9,0
52,System-1_23,0,8,9,0,3,8,0,5,1,3,6,4,7,2,5,6,0,4,0,6,5,9,6,3,9,9,8,0
53,System-1_24,7,0,5,3,0,6,7,8,0,8,6,3,3,9,8,4,8,0,6,3,3,6,3,8,6,0,8,0
54,System-1_25,8,6,8,9,2,2,6,9,0,1,3,1,2,4,2,5,2,4,6,0,2,1,3,5,1,3,9,0
55,System-1_26,5,4,9,5,2,8,8,7,7,6,7,0,7,2,1,7,4,4,8,7,7,6,5,5,7,0,8,0
56,System-1_27,9,3,2,6,7,3,1,9,8,7,5,1,7,2,6,9,7,7,3,7,5,6,0,4,0,3,3,0
57,System-1_28,6,8,5,2,2,7,2,4,9,9,1,2,1,6,8,9,6,1,2,7,5,4,1,5,7,5,1,0
58,System-2_0,6,3,3,7,2,0,2,3,9,8,6,1,6,8,0,3,0,5,1,9,9,2,5,6,2,5,4,0
59,System-2_1,2,5,4,7,5,5,0,4,1,0,0,3,5,8,0,3,8,3,4,2,6,2,5,3,4,0,6,0
60,System-2_2,4,1,1,4,5,3,1,1,5,5,0,2,0,0,4,0,1,2,7,1,8,8,6,8,7,7,1,0
61,System-2_3,5,6,9,0,7,9,1,9,9,1,6,5,7,1,4,6,9,8,2,0,3,6,5,2,7,0,7,0
62,System-2_4,7,3,6,1,4,4,1,1,0,5,7,9,5,2,5,3,5,8,3,2,4,9,8,8,6,2,0,0
63,System-2_5,2,3,9,5,7,9,5,3,8,4,0,1,6,5,4,0,8,5,8,3,0,6,3,3,0,6,7,0
64,System-2_6,6,0,9,2,3,5,1,2,8,2,8,6,3,9,5,2,4,8,2,3,8,0,8,9,7,9,5,0
65,System-2_7,2,0,8,8,9,2,1,3,6,8,3,7,6,2,8,4,7,6,8,6,3,4,5,5,1,4,2,0
66,System-2_8,4,6,6,4,9,7,9,2,9,5,1,7,7,1,2,1,6,9,3,5,7,6,4,3,1,5,1,0
67,System-2_9,6,6,3,3,2,5,2,4,3,3,0,8,1,5,0,6,1,1,4,1,5,7,5,0,6,5,7,0
68,System-2_10,9,8,7,9,1,2,2,3,1,0,0,3,3,4,6,2,9,0,7,6,8,9,9,0,3,3,1,0
69,System-2_11,1,2,3,1,6,7,3,6,2,9,8,1,7,1,0,1,9,3,3,6,1,5,8,7,5,8,3,0
70,System-2_12,9,1,7,0,9,4,2,7,4,4,8,3,2,2,7,0,4,4,7,6,9,9,5,8,9,2,7,0
71,System-2_13,7,9,4,4,4,5,8,6,4,4,2,4,9,9,8,6,6,5,7,4,6,0,1,3,9,9,0,0
72,System-2_14,3,6,9,6,2,3,4,5,9,2,3,0,7,7,9,9,8,6,3,3,3,5,8,7,0,5,1,0
73,System-2_15,7,9,8,3,7,4,8,0,3,3,3,0,9,3,7,6,6,6,1,8,3,2,5,6,0,3,3,0
74,System-2_16,9,5,5,0,4,5,8,2,7,2,8,6,1,1,3,6,6,0,6,9,6,8,5,1,7,0,4,0
75,System-2_17,3,0,0,5,4,4,9,5,5,7,5,3,9,9,2,7,0,3,8,9,0,1,6,6,1,3,4,0
76,System-2_18,2,3,1,1,5,9,1,0,4,5,0,4,5,9,2,4,1,1,7,9,6,1,4,8,7,4,0,0
77,System-2_19,2,0,3,2,2,7,0,4,9,7,2,2,5,2,8,2,6,0,9,4,1,6,2,6,1,1,2,0
78,System-2_20,5,0,8,2,6,9,2,2,7,3,1,0,1,5,9,7,8,4,3,0,5,8,5,9,4,6,6,0
79,System-2_21,0,3,8,2,6,7,6,2,5,4,1,0,9,1,8,2,7,5,8,9,6,0,5,2,0,4,5,0
80,System-2_22,6,4,3,6,6,2,5,2,1,7,2,8,7,7,2,4,5,0,5,7,5,3,9,4,2,3,8,0
81,System-2_23,4,1,4,9,5,1,0,6,9,7,7,1,3,8,0,0,9,5,4,0,9,3,7,1,4,1,8,0
82,System-2_24,4,2,1,2,4,2,7,2,3,9,1,8,3,0,2,7,5,6,6,6,8,8,1,7,3,6,5,0
83,System-2_25,6,4,7,1,1,5,5,5,9,8,0,1,6,8,9,9,4,7,8,4,1,7,3,8,5,0,5,0
84,System-2_26,8,2,1,8,4,2,6,2,6,0,3,0,1,3,3,4,0,0,4,4,5,4,4,5,4,3,8,0
85,System-2_27,3,3,7,7,3,3,8,4,0,1,4,8,9,9,1,1,9,9,3,2,6,3,1,2,2,9,6,0
86,System-2_28,2,5,1,0,0,6,9,0,0,1,5,1,4,3,2,3,8,8,3,8,6,7,3,4,3,0,3,0
87,System-3_0,7,1,4,8,1,6,0,7,1,7,6,2,1,5,3,0,6,7,6,4,5,3,2,5,8,8,9,0
88,System-3_1,5,4,6,9,3,6,9,6,8,0,7,0,8,2,3,2,1,2,2,7,2,1,9,7,5,4,4,0
89,System-3_2,7,8,1,2,2,3,6,5,3,1,0,2,6,3,7,7,5,1,9,2,0,9,1,8,7,1,1,0
90,System-3_3,8,5,1,2,8,8,4,3,3,9,8,1,8,0,1,7,7,8,0,6,0,7,8,2,9,2,9,0
91,System-3_4,0,5,9,1,6,2,4,4,1,0,6,4,9,7,8,0,0,0,8,9,4,4,9,2,9,3,8,0
92,System-3_5,5,2,6,1,5,3,1,5,7,6,6,8,0,0,4,6,0,0,3,3,1,2,4,1,2,8,7,0
93,System-3_6,4,7,3,9,2,5,9,5,2,9,4,8,2,7,4,8,5,3,9,8,9,0,5,0,2,0,6,0
94,System-3_7,3,2,6,8,0,4,1,7,4,2,4,8,8,2,8,8,0,9,3,7,2,3,1,0,6,6,4,0
95,System-3_8,1,1,6,3,1,3,2,8,0,9,6,8,0,0,0,2,3,8,1,0,2,1,0,1,7,5,3,0
96,System-3_9,9,5,2,9,6,6,0,9,8,9,4,1,4,8,4,9,5,0,9,8,3,7,4,5,5,2,6,0
97,System-3_10,9,2,0,9,0,8,8,6,7,3,6,6,1,7,5,3,0,1,0,8,8,7,8,0,9,9,9,0
98,System-3_11,1,6,8,8,1,7,7,9,2,0,8,0,9,5,4,1,6,5,7,8,9,5,2,7,6,8,3,0
99,System-3_12,4,9,1,2,6,6,7,7,8,8,0,4,7,6,5,2,6,9,2,4,7,9,7,7,9,5,4,0
100,System-3_13,6,8,1,7,2,4,4,9,2,5,7,3,2,9,7,0,0,6,7,0,5,1,3,6,9,1,6,0
101,System-3_14,0,6,1,5,5,2,3,4,4,3,5,7,8,8,2,5,3,8,3,9,5,4,6,8,2,1,6,0
102,System-3_15,1,5,8,7,2,0,9,1,3,3,4,9,4,8,6,5,4,8,3,5,3,8,2,2,7,4,3,0
103,System-3_16,0,2,6,7,3,6,7,1,2,5,0,2,4,0,2,5,9,8,5,7,1,9,2,1,8,4,1,0
104,System-3_17,9,4,5,9,5,2,2,1,8,4,6,4,5,1,0,5,2,8,2,1,4,7,3,1,6,2,2,0
105,System-3_18,8,6,5,2,0,9,9,8,8,8,3,7,1,4,9,6,1,5,8,1,4,7,9,2,7,2,5,0
106,System-3_19,4,5,8,9,9,4,2,6,2,7,8,8,2,1,9,0,4,7,7,2,7,1,9,1,2,2,2,0
107,System-3_20,3,8,4,0,2,9,9,0,2,4,3,4,3,5,7,5,8,3,5,0,3,9,7,0,3,7,4,0
108,System-3_21,6,6,2,0,7,1,9,4,2,1,3,8,6,0,8,5,7,2,9,7,7,8,7,6,2,6,9,0
109,System-3_22,2,9,4,7,0,6,7,7,3,8,0,7,3,5,0,9,4,8,7,2,4,7,6,9,6,6,3,0
110,System-3_23,6,8,3,2,1,4,5,0,0,1,2,2,7,3,4,3,8,4,9,7,0,3,8,2,4,7,9,0
111,System-3_24,3,8,3,3,5,5,6,9,1,5,9,4,4,3,7,6,5,7,6,6,2,7,8,5,7,3,8,0
112,System-3_25,9,7,4,1,9,7,4,7,2,2,4,8,7,5,6,5,7,6,8,7,6,5,4,0,7,5,8,0
113,System-3_26,8,6,9,4,2,0,7,3,7,2,7,0,0,9,3,9,2,3,2,9,5,7,9,3,9,3,2,0
114,System-3_27,9,8,1,4,8,4,7,0,8,3,1,5,0,2,8,6,6,1,3,1,9,6,1,6,8,0,5,0
115,System-3_28,0,3,7,2,0,8,6,9,9,9,2,6,2,9,9,5,6,3,8,5,5,1,0,5,5,2,1,0
116,System-4_0,8,5,9,7,2,9,6,6,6,8,7,0,8,9,7,9,9,8,2,6,5,2,4,9,7,5,8,0
117,System-4_1,0,6,9,4,5,6,0,7,2,3,2,0,3,8,8,7,6,9,5,9,8,2,2,0,7,9,9,0
118,System-4_2,8,7,5,7,6,6,1,3,0,8,4,6,0,8,2,5,1,5,9,8,7,6,8,0,9,6,6,0
119,System-4_3,7,0,0,8,3,7,6,0,7,7,7,1,6,7,9,8,6,2,9,2,9,8,9,1,3,7,5,0
120,System-4_4,8,8,3,3,5,2,8,5,3,6,8,4,0,6,3,8,7,2,0,8,3,8,9,6,4,9,1,0
121,System-4_5,0,5,3,1,5,4,8,8,0,7,2,5,1,6,2,5,8,7,4,7,5,6,7,4,1,5,0,0
122,System-4_6,9,7,2,3,3,5,1,3,2,1,8,9,4,7,6,5,4,7,7,8,6,8,6,8,4,8,6,0
123,System-4_7,9,5,6,6,9,8,7,8,0,3,4,1,9,6,3,4,7,8,2,1,1,6,2,1,1,9,6,0
124,System-4_8,5,2,0,1,3,4,6,3,9,8,2,1,4,2,1,8,3,7,2,6,0,1,9,0,5,4,6,0
125,System-4_9,4,1,8,2,7,4,9,4,8,0,7,5,7,0,0,9,4,8,8,1,4,3,6,7,4,7,7,0
126,System-4_10,9,2,0,9,0,2,6,2,0,0,1,4,5,6,9,8,2,6,9,8,4,0,9,2,4,3,4,0
127,System-4_11,3,5,7,4,4,0,4,7,5,6,1,5,5,1,9,1,4,4,1,4,9,2,4,8,2,4,9,0
128,System-4_12,4,3,6,2,5,2,0,7,8,9,1,8,4,8,6,0,1,3,3,0,1,7,6,6,1,1,4,0
129,System-4_13,1,6,6,9,3,0,4,2,6,3,6,3,1,9,7,9,1,3,3,2,5,5,2,3,0,7,8,0
130,System-4_14,0,5,7,9,6,3,4,7,3,2,3,9,8,8,9,3,0,4,2,2,0,6,5,3,3,0,3,0
131,System-4_15,3,0,3,8,5,4,3,3,9,1,2,0,1,8,0,5,5,4,8,2,1,4,3,0,3,8,0,0
132,System-4_16,4,7,6,1,4,2,6,6,2,2,5,5,0,4,8,2,3,2,8,2,9,7,2,7,9,4,7,0
133,System-4_17,0,6,3,5,6,1,8,0,8,4,5,9,0,6,3,7,2,8,0,3,4,6,7,5,2,8,0,0
134,System-4_18,9,7,0,1,9,9,4,4,0,9,6,0,9,3,2,5,1,3,7,1,8,6,3,8,1,6,7,0
135,System-4_19,8,2,8,3,4,2,6,2,5,4,3,1,1,4,4,7,1,5,8,9,2,0,2,6,5,0,1,0
136,System-4_20,1,0,4,5,0,6,0,7,2,5,1,4,1,8,8,8,6,3,8,5,2,6,4,7,7,4,3,0
137,System-4_21,4,2,0,1,7,8,7,4,8,5,4,8,9,8,8,8,3,9,9,2,7,2,4,0,7,6,6,0
138,System-4_22,6,2,5,3,6,1,0,6,2,3,7,0,3,3,1,9,0,2,7,9,2,8,3,4,0,6,6,0
139,System-4_23,1,5,8,9,3,7,4,4,5,7,0,0,4,1,4,2,6,2,3,6,7,3,9,7,2,1,9,0
140,System-4_24,1,7,0,3,1,7,2,2,7,2,0,9,9,2,0,3,5,6,2,8,2,6,7,3,1,1,8,0
141,System-4_25,7,1,9,0,7,0,9,8,3,8,6,3,7,4,1,8,0,8,1,2,3,0,0,5,6,5,0,0
142,System-4_26,2,7,8,3,6,0,9,1,0,9,4,5,7,2,6,0,3,3,2,2,5,8,7,3,9,7,1,0
143,System-4_27,0,9,5,0,3,1,9,0,9,1,7,5,2,1,0,3,2,0,3,5,4,1,8,7,3,6,5,0
144,System-4_28,6,3,3,8,1,7,2,4,2,2,1,2,3,1,6,1,1,0,7,8,1,4,0,9,3,2,1,0
145,System-5_0,8,6,2,9,4,6,3,4,5,6,3,1,2,7,8,9,5,8,0,1,7,1,6,9,6,2,5,0
146,System-5_1,5,5,4,9,7,9,9,8,8,2,5,2,3,0,6,0,5,3,8,7,9,3,3,3,2,5,0,0
147,System-5_2,3,9,6,8,1,2,8,3,3,2,6,7,4,4,8,1,5,1,1,9,3,3,3,2,4,2,9,0
148,System-5_3,6,4,1,0,7,1,2,4,7,2,4,0,7,3,0,4,7,6,7,6,4,5,5,4,3,6,8,0
149,System-5_4,6,7,1,6,6,8,6,6,7,8,9,2,1,2,1,2,5,1,8,2,3,5,1,7,6,2,7,0
150,System-5_5,9,3,6,1,7,1,7,1,0,1,5,2,7,9,1,9,9,0,0,4,3,5,4,8,1,9,1,0
151,System-5_6,1,3,3,6,2,9,6,5,9,2,0,9,1,4,4,1,0,4,8,2,4,2,4,4,9,9,9,0
152,System-5_7,1,7,8,1,5,6,5,8,8,5,5,0,5,2,0,3,9,8,6,2,3,8,0,0,7,9,5,0
153,System-5_8,3,4,4,7,1,2,3,8,4,0,4,5,0,0,9,1,2,9,1,0,5,2,5,2,5,2,9,0
154,System-5_9,6,2,5,1,5,8,9,1,9,2,6,3,2,0,2,2,7,3,2,7,3,1,8,7,4,2,2,0
155,System-5_10,3,7,7,9,9,3,9,6,2,8,5,7,4,9,3,5,5,6,0,5,0,3,3,4,4,4,5,0
156,System-5_11,4,2,6,6,8,6,0,0,4,2,2,8,4,8,1,8,4,1,5,6,3,4,3,9,7,3,0,0
157,System-5_12,6,3,2,4,9,1,3,1,1,7,2,6,3,5,8,2,7,0,6,3,3,3,7,9,3,6,9,0
158,System-5_13,2,0,0,5,8,9,5,1,9,8,8,7,2,9,3,4,7,4,8,7,3,6,8,0,5,1,6,0
159,System-5_14,0,2,4,1,3,7,8,7,7,0,1,3,6,2,4,0,2,5,3,2,0,6,0,3,5,3,3,0
160,System-5_15,0,3,3,6,2,9,8,0,1,7,6,7,3,7,7,4,0,3,3,8,5,4,9,9,9,5,2,0
161,System-5_16,7,4,5,3,8,1,7,9,9,9,5,9,8,9,0,9,2,0,8,2,0,3,5,3,0,9,6,0
162,System-5_17,5,8,7,5,3,5,0,6,7,2,5,7,7,7,5,6,2,5,1,6,5,1,9,5,3,8,1,0
163,System-5_18,4,4,6,5,5,5,1,6,6,6,7,4,8,9,6,0,1,1,4,2,1,8,9,2,7,1,3,0
164,System-5_19,0,6,7,0,7,9,1,1,2,5,4,0,9,1,8,3,4,2,3,0,6,2,4,6,7,2,6,0
165,System-5_20,4,9,1,1,3,5,7,9,0,1,0,6,2,8,3,9,0,8,4,8,4,1,7,5,2,4,1,0
166,System-5_21,3,6,0,2,6,0,6,1,7,0,1,1,4,3,7,1,0,7,1,2,6,1,3,5,2,7,5,0
167,System-5_22,9,6,5,9,8,9,4,2,3,6,8,8,0,6,7,4,8,9,3,8,5,5,3,9,4,7,8,0
168,System-5_23,1,9,3,6,5,9,5,1,4,0,3,6,5,6,2,1,1,2,8,4,1,5,1,1,2,3,5,0
169,System-5_24,5,0,7,8,4,3,9,0,0,1,4,3,5,3,5,1,1,3,0,4,9,7,8,4,7,5,8,0
170,System-5_25,8,6,2,6,4,2,2,0,2,7,8,9,1,4,2,3,1,1,0,8,7,1,9,5,1,5,9,0
171,System-5_26,2,9,1,1,7,1,5,2,4,9,7,7,9,1,1,1,8,8,6,6,9,9,9,2,3,5,9,0
172,System-5_27,4,5,0,5,0,1,2,9,4,2,7,4,5,4,8,9,2,8,1,3,0,7,7,7,5,9,7,0
173,System-5_28,7,5,2,8,6,5,7,0,0,9,2,7,9,8,7,4,1,3,9,9,5,6,5,5,4,0,1,0
174,System-6_0,7,9,6,6,7,4,4,4,7,0,9,7,1,7,5,0,0,9,3,0,5,0,8,6,4,6,1,0
175,System-6_1,3,9,5,1,2,8,9,7,8,4,6,6,5,7,3,6,9,2,6,1,2,4,9,0,5,8,2,0
176,System-6_2,4,4,9,4,8,6,2,6,7,5,0,9,5,5,2,5,2,8,3,9,9,6,5,2,9,8,7,0
177,System-6_3,1,3,7,2,0,5,0,9,4,2,8,7,6,6,7,2,8,0,9,9,5,9,1,1,4,5,6,0
178,System-6_4,8,2,5,8,4,6,4,1,2,5,5,0,3,1,9,3,5,0,8,9,6,7,6,6,7,4,7,0
179,System-6_5,1,9,5,3,9,0,3,1,4,2,4,5,9,8,4,5,1,8,2,8,4,9,1,2,6,4,7,0
180,System-6_6,4,9,2,0,9,1,5,5,1,7,3,7,7,1,9,4,4,7,8,8,0,6,7,9,0,4,1,0
181,System-6_7,8,0,2,9,2,8,3,3,4,8,2,7,3,3,4,9,5,5,1,6,6,1,6,5,1,2,7,0
182,System-6_8,9,3,2,4,3,8,5,0,6,4,3,8,4,6,3,4,0,1,4,9,5,5,0,4,1,7,3,0
183,System-6_9,7,8,7,2,7,0,3,7,8,1,8,1,1,5,3,2,4,9,5,0,6,1,4,5,5,8,3,0
184,System-6_10,4,8,6,2,2,0,3,4,0,9,1,9,8,9,0,1,4,1,0,7,0,5,1,5,6,3,0,0
185,System-6_11,1,0,0,8,7,1,6,7,6,2,1,1,5,1,7,0,0,1,1,4,1,9,8,9,9,8,8,0
186,System-6_12,4,4,0,1,6,1,3,6,9,2,7,4,3,4,6,6,0,9,3,8,2,5,3,3,4,5,0,0
187,System-6_13,8,8,2,5,0,7,5,8,2,4,2,6,0,0,4,9,9,9,5,9,7,2,4,7,7,0,3,0
188,System-6_14,4,9,9,1,4,9,5,5,4,4,8,8,2,9,3,4,2,4,1,4,0,6,8,3,2,1,8,0
189,System-6_15,4,1,4,9,2,5,7,1,0,4,0,6,1,2,3,1,4,3,9,4,2,3,6,5,0,7,5,0
190,System-6_16,9,6,7,2,1,3,7,2,2,4,7,7,7,3,2,0,3,6,1,1,7,8,1,5,1,4,7,0
191,System-6_17,1,4,1,2,2,2,1,0,4,5,6,1,4,7,4,6,3,8,2,8,9,5,7,2,2,0,5,0
192,System-6_18,4,8,6,5,9,2,9,3,0,8,4,8,9,1,8,4,5,5,6,3,3,5,4,4,4,0,2,0
193,System-6_19,9,2,9,8,5,6,8,3,4,6,3,3,0,9,2,8,7,7,8,7,7,7,6,8,2,5,9,0
194,System-6_20,7,7,9,6,4,0,0,9,4,4,1,5,3,6,5,7,5,3,3,0,9,2,3,5,5,0,9,0
195,System-6_21,8,7,1,5,8,4,6,2,1,6,4,7,0,8,0,4,2,2,9,9,4,6,7,0,5,7,6,0
196,System-6_22,8,3,7,1,4,5,0,9,5,7,5,6,0,8,2,0,2,8,5,8,4,2,7,7,2,2,3,0
197,System-6_23,3,4,2,4,1,2,3,8,0,8,3,2,6,0,9,0,9,6,4,4,1,9,8,1,0,8,6,0
198,System-6_24,1,4,1,2,0,8,7,3,2,5,6,4,8,4,2,3,3,6,3,1,1,5,0,5,3,9,8,0
199,System-6_25,1,0,8,9,1,7,6,0,3,9,0,9,5,4,1,3,6,9,2,1,6,2,7,7,3,7,2,0
200,System-6_26,5,2,4,3,8,2,1,8,5,0,1,3,5,9,3,4,8,1,0,1,4,3,9,3,2,5,6,0
201,System-6_27,7,6,7,7,7,0,4,3,0,2,1,2,8,3,7,3,7,9,9,5,7,2,1,1,1,7,4,0
202,System-6_28,6,0,0,9,8,3,1,3,4,7,4,6,3,4,3,9,5,8,7,9,1,6,0,4,0,9,0,0
203,System-7_0,7,0,0,1,1,3,6,7,9,3,0,5,3,7,8,0,5,0,5,1,5,5,6,9,0,4,6,0
204,System-7_1,5,3,1,2,8,5,3,0,6,8,8,2,2,6,1,2,4,1,4,3,4,8,8,5,6,7,5,0
205,System-7_2,3,3,6,0,8,5,7,6,3,5,3,4,2,4,9,7,3,5,9,3,5,0,0,8,4,6,4,0
206,System-7_3,4,7,4,2,4,2,3,7,6,2,9,8,7,1,5,4,1,1,3,2,8,8,2,6,7,9,0,0
207,System-7_4,2,8,4,6,5,0,0,4,3,0,3,5,8,6,2,0,6,3,4,8,5,6,8,3,3,8,2,0
208,System-7_5,8,6,1,9,3,4,1,3,6,7,9,2,0,6,5,1,3,8,7,9,5,0,1,5,1,5,1,0
209,System-7_6,4,1,1,6,7,0,6,1,8,9,4,3,8,3,4,5,3,9,9,3,7,1,8,2,0,2,3,0
210,System-7_7,3,6,4,3,2,0,3,5,5,1,9,9,9,7,3,0,7,3,4,4,1,8,6,1,1,3,0,0
211,System-7_8,9,5,4,2,9,5,8,2,5,3,0,2,6,1,5,9,8,2,5,3,8,3,1,2,6,7,5,0
212,System-7_9,7,9,2,5,0,5,3,2,7,5,6,9,9,2,5,5,5,3,7,7,3,2,4,8,1,4,1,0
