SystemName,2.1.1,2.1.2,2.1.3,2.2.1,2.2.2,2.2.3,2.3.1,2.3.2,2.3.3,2.4.1,2.4.2,2.4.3,2.5.1,2.5.2,2.5.3,2.6.1,2.6.2,2.6.3,2.7.1,2.7.2,2.7.3,2.8.1,2.8.2,2.8.3,Result
System-1_7,9,9,8,0,6,5,4,1,1,4,8,1,4,7,5,6,1,3,2,1,0,0,3,1,0
System-1_8,2,8,8,6,6,7,7,6,5,0,7,2,0,7,6,3,3,1,6,8,3,2,0,1,0
System-1_9,9,3,4,0,4,7,1,2,4,3,0,0,6,8,3,3,7,2,6,6,5,0,5,0,0
System-2_0,7,5,0,4,8,3,3,0,0,1,4,1,3,7,5,2,6,0,9,1,4,0,8,4,0
System-2_1,1,5,9,8,6,7,9,6,4,3,3,4,0,9,3,9,8,6,1,3,8,5,2,8,0
System-2_2,2,3,1,8,2,9,6,3,8,7,2,1,3,0,9,6,3,5,9,7,9,6,9,4,0
System-2_3,8,6,5,0,0,0,6,7,2,5,9,0,8,5,4,5,2,2,0,9,7,8,5,0,0
System-2_4,1,8,5,1,5,9,9,5,1,5,0,2,9,2,6,2,0,3,8,9,3,0,7,1,0
System-2_5,9,3,5,7,9,2,1,1,4,7,1,8,1,8,8,9,1,3,1,6,7,4,7,2,0
System-2_6,0,9,0,5,4,8,5,8,3,6,3,6,9,2,3,1,1,8,9,3,7,5,8,0,0
System-2_7,4,7,6,5,6,3,8,5,2,2,3,7,0,9,9,5,0,5,2,4,2,6,4,6,0
System-2_8,5,0,3,4,1,1,5,4,3,9,5,7,9,8,6,1,3,0,9,5,6,5,0,0,0
System-2_9,8,5,3,3,5,2,0,4,5,9,3,6,0,5,8,1,7,0,2,5,9,0,4,1,0
System-3_0,2,3,2,7,8,8,0,9,8,1,6,4,1,0,3,2,7,7,5,5,1,0,6,3,0
System-3_1,4,0,6,5,1,4,3,5,7,9,1,9,8,2,8,4,5,1,8,9,7,3,6,2,0
System-3_2,4,6,3,2,5,8,9,3,3,7,9,6,0,6,2,9,7,0,6,6,2,1,1,7,0
System-3_3,2,5,8,9,5,3,8,5,3,5,3,5,2,0,2,3,9,0,1,1,8,3,2,0,0
System-3_4,1,6,8,6,0,4,2,8,4,6,4,6,0,3,3,4,9,1,3,8,7,6,1,9,0
System-3_5,8,2,4,0,5,5,9,8,3,6,7,0,6,6,6,5,2,2,3,6,4,7,7,1,0
System-3_6,3,0,0,9,7,5,5,9,2,2,1,4,4,4,2,4,2,0,7,2,7,3,6,6,0
System-3_7,6,0,5,0,9,2,4,8,4,2,8,4,6,6,4,3,5,1,0,0,6,3,9,6,0
System-3_8,7,6,9,5,2,9,4,4,6,7,6,6,2,7,1,2,1,3,1,6,5,6,9,0,0
System-3_9,5,4,3,7,0,8,1,9,7,6,1,1,3,7,6,2,5,8,1,7,2,7,7,0,0
System-4_0,1,3,2,7,1,0,0,4,4,5,8,3,7,9,6,6,6,3,5,0,6,6,6,5,0
System-4_1,2,6,1,3,3,3,9,3,7,5,4,0,9,0,9,8,3,3,1,1,3,9,4,1,0
System-4_2,4,7,9,7,0,7,0,8,4,8,9,8,1,3,5,9,0,0,0,8,8,6,2,7,0
System-4_3,9,3,0,5,6,4,4,8,4,0,6,5,2,3,8,8,6,0,8,0,2,1,9,4,0
System-4_4,9,7,4,8,6,8,1,9,2,5,8,6,8,8,2,4,0,1,2,5,2,3,0,4,0
System-4_5,6,7,1,4,6,1,3,1,7,9,9,9,9,2,7,6,5,8,9,7,4,4,5,7,0
System-4_6,0,5,1,3,6,5,4,8,8,7,2,9,7,0,3,5,6,2,0,8,4,5,1,5,0
System-4_7,2,0,7,9,0,5,1,9,3,6,7,8,2,3,8,7,6,9,0,2,3,3,7,3,0
System-4_8,8,7,1,6,5,8,4,8,8,7,0,9,7,4,1,6,6,0,3,6,1,5,4,0,0
System-4_9,9,3,0,2,5,3,4,7,9,4,7,8,1,4,4,0,7,9,7,6,4,3,2,9,0
System-5_0,5,2,0,9,2,6,9,9,0,6,6,3,6,9,5,6,5,6,1,8,3,6,0,6,0
System-5_1,4,2,2,3,1,7,7,9,0,4,0,9,7,0,4,7,9,4,1,6,7,8,9,2,0
System-5_2,1,2,6,2,1,2,3,2,2,7,5,1,5,8,5,4,7,6,0,9,4,7,4,9,0
System-5_3,3,5,6,3,4,6,9,2,4,4,6,6,5,6,4,2,3,9,1,4,5,8,6,2,0
System-5_4,5,4,2,9,2,9,3,6,1,5,3,9,4,4,8,1,3,1,2,8,3,1,9,0,0
System-5_5,3,4,4,9,6,3,9,8,5,9,9,1,3,7,4,9,6,2,2,9,6,5,0,8,0
System-5_6,9,5,0,7,0,0,0,7,6,1,7,6,9,2,1,2,0,9,6,3,0,4,2,0,0
System-5_7,8,9,4,4,5,9,2,8,1,7,0,6,1,9,8,5,2,8,9,4,0,5,7,5,0
System-5_8,8,6,3,8,7,8,4,8,0,4,8,3,0,5,7,9,5,7,0,2,8,7,8,8,0
System-5_9,2,3,6,0,5,6,5,7,2,9,1,1,0,4,0,2,1,1,6,8,0,1,3,2,0
System-6_0,9,3,3,1,2,4,9,3,8,5,9,9,3,1,8,4,7,2,9,7,7,7,4,8,0
System-6_1,3,2,9,1,2,8,2,2,2,7,7,1,2,2,5,7,7,1,1,8,9,6,3,5,0
System-6_2,6,5,8,1,3,8,4,7,9,1,7,3,6,6,0,9,6,5,2,2,9,8,5,1,0
System-6_3,0,0,8,9,2,0,6,9,8,6,9,2,6,8,1,6,8,0,9,6,1,7,2,4,0
System-6_4,4,0,0,7,8,9,1,8,8,8,6,0,0,5,0,7,8,4,0,7,7,6,4,4,0
System-6_5,2,7,3,0,1,1,4,8,2,6,2,7,5,1,8,4,2,5,8,3,5,4,5,0,0
System-6_6,9,0,4,2,7,4,2,4,9,4,3,4,4,7,5,4,4,8,3,5,7,4,9,4,0
System-6_7,7,3,2,6,7,5,7,6,6,1,6,9,3,8,1,3,6,0,7,2,9,1,3,2,0
System-6_8,0,7,5,1,3,1,9,8,1,3,9,3,8,7,6,6,1,4,1,5,0,0,0,4,0
System-6_9,5,2,4,7,3,4,7,6,8,9,4,2,2,7,3,3,9,9,4,7,4,8,3,0,0
System-7_0,2,5,6,8,0,1,6,4,2,6,4,1,2,1,2,2,8,3,7,4,0,2,1,6,0
System-7_1,1,0,4,0,9,1,0,0,0,2,6,4,2,9,6,6,1,7,7,3,6,6,9,1,0
System-7_2,9,5,2,1,0,6,1,8,2,3,7,5,9,8,4,7,4,1,1,5,3,9,5,5,0
System-7_3,6,0,1,4,1,4,0,6,2,0,4,9,3,1,5,4,2,4,3,1,9,1,1,3,0
System-7_4,4,6,9,6,2,0,2,6,7,0,3,1,0,2,2,5,6,5,2,1,3,6,0,4,0
System-7_5,2,4,8,6,7,6,6,8,4,9,6,0,8,6,5,5,5,6,1,5,6,6,8,5,0
System-7_6,4,7,0,0,5,5,9,9,5,2,3,6,6,0,6,4,2,2,9,4,0,3,6,9,0
System-7_7,9,4,6,3,5,5,7,6,2,9,0,9,0,5,3,6,7,5,2,3,7,1,0,1,0
System-7_8,4,3,8,4,2,3,1,4,7,1,3,6,6,6,1,6,6,2,9,0,8,9,3,0,0
System-7_9,0,5,9,3,7,9,4,3,7,1,0,8,1,1,5,6,0,2,8,6,3,7,2,4,0
System-8_0,4,3,0,1,0,6,5,7,4,0,8,2,6,4,6,2,6,9,0,7,1,8,0,8,0
System-8_1,9,2,4,5,4,7,0,5,7,6,2,9,2,5,8,6,2,7,1,5,1,2,4,8,0
System-8_2,5,2,5,8,0,2,9,5,6,6,7,0,4,2,4,6,2,0,7,8,1,8,7,7,0
System-8_3,0,2,2,4,7,5,7,6,0,2,1,2,9,8,6,3,8,2,2,5,3,8,5,0,0
System-8_4,3,1,3,2,6,0,7,7,8,8,5,0,9,1,6,5,8,1,8,7,8,8,6,7,0
System-8_5,6,5,8,3,9,4,5,8,0,8,8,4,0,1,1,0,5,4,8,4,5,8,0,9,0
System-8_6,7,5,7,6,2,1,2,7,2,4,3,7,1,6,0,3,5,6,6,6,5,1,2,0,0
System-8_7,9,3,9,5,3,9,8,7,1,9,7,9,4,7,0,8,2,2,2,2,3,9,1,8,0
System-8_8,7,2,4,1,8,1,3,3,2,5,8,3,3,5,1,4,8,2,4,3,2,3,5,8,0
System-8_9,3,3,3,9,5,8,0,7,2,6,8,4,4,4,5,3,6,7,9,5,7,5,1,6,0
System-9_0,2,0,7,3,1,3,5,9,0,5,1,5,9,6,9,2,8,5,6,7,6,1,4,3,0
System-9_1,4,7,2,5,3,1,8,9,4,0,3,4,9,7,3,8,7,9,4,2,4,2,3,5,0
System-9_2,1,0,8,4,9,7,5,2,5,1,9,1,3,1,8,9,5,4,4,9,2,0,8,8,0
System-9_3,0,5,4,8,4,3,3,5,0,3,2,3,1,8,1,9,2,9,9,7,5,6,8,7,0
System-9_4,6,5,8,2,5,1,6,9,9,6,4,6,5,7,8,4,4,0,9,0,6,8,2,8,0
System-9_5,7,6,0,6,4,5,1,6,8,5,9,0,3,8,6,9,4,7,3,2,6,1,4,3,0
System-9_6,0,5,0,9,4,1,3,3,9,2,7,5,1,6,0,2,0,7,8,5,2,8,2,7,0
System-9_7,9,9,4,4,8,8,8,9,9,7,8,9,9,9,3,5,5,2,7,5,5,9,0,3,0
System-9_8,8,4,2,5,6,1,5,9,7,9,1,8,4,8,4,9,6,4,5,5,4,9,3,1,0
System-9_9,9,7,6,3,8,5,0,3,9,3,4,6,3,0,7,3,4,5,7,5,6,9,0,2,0
System-10_0,12,11,11,11,10,13,10,14,13,19,18,18,18,11,10,10,13,18,10,10,11,10,11,19,0
System-10_1,11,15,11,12,17,17,16,14,17,12,14,17,10,11,15,10,14,17,17,12,13,15,14,14,0
System-10_2,10,16,17,15,12,14,18,17,16,16,14,13,13,16,16,16,16,10,17,15,12,16,15,18,0
System-10_3,11,11,11,13,11,16,13,17,10,19,10,15,14,18,15,17,14,14,17,19,16,12,14,10,0
System-10_4,19,13,10,13,12,15,11,14,16,19,17,12,10,14,11,14,10,16,16,17,17,11,12,13,0
System-10_5,12,14,13,16,19,15,14,19,11,18,17,17,19,17,18,18,10,10,19,17,17,15,11,12,0
System-10_6,15,12,10,14,15,15,11,17,10,15,17,11,17,14,12,16,17,13,11,13,10,15,19,12,0
System-10_7,19,12,17,17,10,16,15,12,18,19,14,14,12,14,14,17,18,16,17,10,19,17,16,14,0
System-10_8,16,13,18,17,18,13,13,12,17,13,12,18,16,17,13,11,13,10,18,18,19,15,18,12,0
System-10_9,14,13,19,13,16,18,12,10,19,18,18,14,14,19,15,11,18,10,18,11,16,14,16,19,0
System-11_0,13,12,11,11,17,12,10,16,16,15,14,10,16,10,19,10,17,10,16,14,18,15,12,18,0
System-11_1,10,15,19,11,10,10,14,10,11,18,19,14,17,11,17,16,12,14,17,18,14,17,11,14,0
System-11_2,12,12,13,11,15,12,18,19,13,10,10,12,11,19,13,16,18,18,17,11,17,17,19,16,0
System-11_3,11,12,15,19,13,18,10,19,14,13,15,10,14,11,14,16,13,18,14,13,14,12,12,18,0
System-11_4,13,16,15,12,13,12,14,11,16,16,10,12,19,12,12,17,12,18,19,19,18,14,11,17,0
System-11_5,18,10,12,12,14,16,15,17,16,12,18,18,16,11,19,18,18,10,16,19,13,10,18,13,0
System-11_6,10,15,14,16,15,12,16,11,13,10,12,17,18,10,14,12,19,10,12,16,14,16,17,10,0
System-11_7,10,15,14,19,12,10,15,16,16,18,18,19,19,10,18,19,15,15,10,14,16,14,10,15,0
System-11_8,19,10,16,16,17,10,12,14,14,13,11,10,15,16,16,12,15,18,11,10,14,10,14,10,0
System-11_9,13,18,10,19,15,14,18,11,18,11,19,19,13,17,18,11,17,15,14,15,16,14,14,10,0
System-12_0,13,14,18,16,12,14,14,13,19,17,17,17,18,11,14,11,11,19,16,19,10,15,11,12,0
System-12_1,15,10,11,12,19,18,11,12,12,10,11,18,19,15,10,17,10,12,10,15,16,16,19,15,0
System-12_2,17,15,15,19,17,18,14,13,19,17,11,14,15,13,13,16,16,13,19,11,13,10,16,11,0
System-12_3,18,11,17,18,18,12,12,10,19,15,11,12,11,19,14,14,15,18,16,17,13,15,18,17,0
System-12_4,12,10,15,17,14,14,17,16,12,13,10,10,17,18,12,18,15,14,11,19,19,17,13,18,0
System-12_5,14,12,15,11,11,18,19,16,17,11,17,15,12,10,13,19,17,11,12,16,18,10,13,15,0
System-12_6,17,13,12,16,14,18,15,15,12,16,12,11,15,11,11,16,17,17,15,15,13,11,18,14,0
System-12_7,19,17,15,16,19,12,14,18,17,10,14,11,12,19,14,14,16,13,14,11,14,12,11,15,0
System-12_8,17,11,15,11,14,10,18,14,14,17,13,15,18,18,13,17,11,13,18,16,10,14,17,15,0
System-12_9,15,10,14,14,18,15,12,14,12,17,16,19,10,18,15,11,10,13,10,16,12,12,10,19,0
System-13_0,13,12,11,17,10,15,19,18,18,13,12,11,14,13,14,10,17,16,15,17,17,17,12,10,0
System-13_1,16,12,10,13,10,12,18,19,16,19,15,14,15,17,10,17,14,12,13,15,10,13,18,15,0
System-13_2,11,11,14,12,13,14,18,10,15,11,16,18,17,12,17,13,10,13,19,12,16,12,16,19,0
System-13_3,18,16,15,13,18,11,19,14,18,11,18,19,18,18,15,12,14,16,19,10,11,12,11,19,0
System-13_4,16,14,18,14,19,16,14,10,14,15,17,11,19,12,13,17,15,18,10,11,13,13,10,18,0
System-13_5,13,17,16,15,17,10,13,15,15,11,12,11,19,16,11,14,16,19,11,11,14,10,13,13,0
System-13_6,12,13,17,11,17,14,16,17,16,12,14,17,11,19,16,11,14,11,11,10,15,13,10,15,0
System-13_7,16,15,10,13,12,11,13,15,18,13,16,18,17,18,11,13,14,17,14,12,11,14,17,12,0
System-13_8,12,10,14,12,14,16,18,17,11,14,12,14,14,16,11,17,19,13,14,13,11,18,15,11,0
System-13_9,13,18,16,10,15,14,17,12,16,17,13,12,16,11,15,16,15,18,19,15,17,17,17,11,0
System-14_0,18,13,13,19,11,12,13,18,19,16,19,16,19,19,13,11,14,13,19,19,18,11,11,17,0
System-14_1,16,14,15,18,14,10,15,18,14,13,11,11,13,15,11,14,10,13,18,16,16,19,15,15,0
System-14_2,17,19,11,16,13,10,11,11,12,13,17,16,16,11,18,12,10,12,13,17,15,15,14,12,0
System-14_3,13,11,14,13,14,10,14,16,15,16,11,12,11,11,18,10,13,19,17,18,12,16,13,15,0
System-14_4,19,17,15,19,12,10,17,13,10,10,17,19,16,12,16,13,18,13,10,19,11,12,12,12,0
System-14_5,17,13,16,19,11,11,11,14,11,11,19,18,10,12,18,12,18,17,11,12,16,10,14,13,0
System-14_6,14,13,16,18,11,15,12,12,10,14,11,13,17,19,15,18,14,12,15,14,13,13,19,13,0
System-14_7,14,16,14,18,10,14,11,12,11,12,11,11,18,14,15,18,17,12,12,11,14,15,17,17,0
System-14_8,11,12,12,10,12,13,16,12,18,10,11,11,10,17,14,17,10,10,10,13,18,17,14,17,0
System-14_9,18,14,17,10,12,14,13,12,16,10,15,12,18,14,12,18,16,10,14,17,15,12,19,18,0
System-15_0,18,19,16,19,10,13,19,11,10,15,15,12,10,13,17,16,14,10,13,16,11,15,19,11,0
System-15_1,15,12,11,14,18,15,15,11,10,13,17,19,13,19,12,15,14,17,18,11,19,19,18,12,0
System-15_2,14,11,12,16,16,11,14,17,17,10,10,16,15,16,15,19,14,18,15,13,14,11,11,13,0
System-15_3,16,11,12,18,14,19,13,16,19,15,19,11,15,18,16,13,10,10,13,17,14,11,17,15,0
System-15_4,11,14,17,11,19,17,11,13,11,12,10,16,12,17,15,17,19,16,17,18,14,17,17,16,0
System-15_5,16,18,17,12,15,11,14,18,16,16,17,14,10,14,13,13,17,17,15,16,16,14,15,19,0
System-15_6,11,16,10,15,10,13,12,19,10,13,13,15,14,10,14,11,15,10,19,18,19,17,13,11,0
System-15_7,19,11,13,19,13,16,18,11,19,17,13,11,17,19,10,12,12,19,13,13,16,18,19,15,0
System-15_8,17,14,12,18,14,17,10,19,11,13,18,16,10,12,19,12,14,17,14,19,18,15,14,12,0
System-15_9,18,17,15,11,11,16,14,16,10,10,11,10,18,12,14,11,10,17,19,16,14,18,12,16,0
System-16_0,18,10,19,19,13,11,13,19,17,16,16,15,19,16,18,14,19,17,13,15,10,12,13,15,0
System-16_1,13,18,14,16,12,19,10,13,19,14,11,13,14,19,13,12,19,16,10,12,18,15,14,13,0
System-16_2,11,16,13,19,18,13,14,16,13,19,18,19,10,11,16,14,19,13,11,15,16,19,17,18,0
System-16_3,19,12,18,11,15,15,15,15,19,10,16,19,13,10,18,18,10,16,16,19,19,17,17,11,0
System-16_4,16,13,14,17,12,10,16,16,10,10,14,13,16,13,18,16,10,15,11,10,13,18,12,12,0
System-16_5,11,18,17,12,10,19,16,13,12,12,18,19,18,17,10,11,13,13,16,10,12,18,15,14,0
System-16_6,11,13,10,17,16,16,14,10,12,11,11,18,15,12,12,12,13,17,13,17,15,18,15,10,0
System-16_7,13,18,10,12,12,10,16,13,14,15,10,10,18,12,15,11,18,16,14,18,11,12,12,17,0
System-16_8,13,18,15,19,14,17,13,10,11,19,10,15,12,10,12,10,13,18,18,14,11,14,16,12,0
System-16_9,15,15,18,17,12,14,18,19,19,10,14,10,17,14,19,11,14,17,15,12,12,12,16,15,0
System-17_0,10,18,18,16,15,16,15,18,15,14,16,19,19,16,12,18,12,15,15,12,12,10,12,16,0
System-17_1,16,10,13,19,18,15,19,17,15,16,14,15,12,12,19,17,18,19,13,11,19,15,12,11,0
System-17_2,11,12,16,12,12,10,11,11,17,15,18,19,13,12,11,17,17,17,13,10,16,15,16,12,0
System-17_3,15,17,17,11,17,14,11,19,15,13,17,13,19,17,13,14,16,19,11,17,18,14,14,18,0
System-17_4,15,18,18,11,19,16,16,12,16,13,13,10,10,16,18,10,17,13,10,15,10,12,14,19,0
System-17_5,18,18,17,15,18,17,18,13,18,10,10,14,19,14,15,16,15,18,10,18,17,14,17,19,0
System-17_6,12,12,11,15,10,19,18,14,17,18,10,14,12,13,10,16,14,18,19,13,12,13,16,16,0
System-17_7,14,13,18,13,14,18,19,17,15,18,19,12,10,12,13,10,13,19,14,18,17,13,12,17,0
System-17_8,13,13,19,13,18,19,10,17,12,15,19,17,10,12,13,13,12,12,13,15,18,18,11,12,0
System-17_9,17,11,16,18,19,13,17,13,19,13,17,11,19,11,16,16,18,14,10,18,13,11,14,15,0
System-18_0,17,17,18,13,11,18,10,19,15,12,19,14,11,11,11,16,15,13,16,12,18,16,15,14,0
System-18_1,14,17,14,19,11,10,10,12,19,15,17,14,16,18,19,10,14,12,13,10,15,10,15,17,0
System-18_2,12,16,14,16,10,18,13,16,12,14,14,11,17,11,10,11,19,14,17,10,15,18,10,15,0
System-18_3,10,18,17,10,16,11,19,14,11,17,12,13,12,10,18,12,17,17,15,17,13,18,19,18,0
System-18_4,10,17,14,11,16,14,17,17,11,19,15,18,13,12,19,11,19,16,19,18,19,15,19,16,0
System-18_5,17,10,12,13,11,18,13,10,10,10,19,11,12,13,12,19,11,19,12,11,12,18,15,13,0
System-18_6,12,15,12,14,18,13,18,11,13,13,16,14,19,13,13,14,14,11,18,19,11,14,11,10,0
System-18_7,11,10,15,16,18,18,12,13,12,17,16,15,13,16,13,17,19,16,17,19,15,18,11,11,0
System-18_8,13,17,17,11,19,10,10,11,13,16,14,11,14,13,19,11,19,10,13,16,15,16,13,19,0
System-18_9,16,18,10,13,18,19,18,16,10,11,15,10,10,17,10,10,13,14,14,11,12,12,10,17,0
System-19_0,11,18,10,10,15,11,13,10,11,14,17,14,10,19,15,11,14,10,11,11,14,15,14,17,0
System-19_1,14,11,12,12,13,10,17,18,16,13,13,19,17,13,17,11,19,14,17,10,11,19,12,10,0
System-19_2,19,11,17,15,19,13,13,10,15,10,14,14,10,14,12,18,18,10,16,13,15,12,16,16,0
System-19_3,18,13,18,10,10,17,17,17,14,15,12,10,17,12,11,13,18,13,11,14,18,13,11,19,0
System-19_4,16,15,12,11,17,17,11,17,12,15,10,13,13,15,18,14,19,19,16,19,19,19,10,11,0
System-19_5,19,17,10,11,19,10,16,19,11,19,10,16,12,14,12,13,16,18,19,14,17,16,13,12,0
System-19_6,17,16,13,13,19,17,17,18,16,11,10,17,15,11,19,16,11,19,15,14,18,14,13,18,0
System-19_7,18,17,19,12,18,10,15,17,19,19,10,18,15,12,12,13,15,15,19,13,12,19,14,17,0
System-19_8,11,17,16,12,18,14,14,10,16,15,16,19,10,15,11,16,18,15,19,13,17,17,19,13,0
System-19_9,14,13,15,12,14,11,19,18,14,12,13,14,13,10,12,17,16,15,10,15,13,18,19,13,0
System-20_0,25,27,27,25,28,25,27,28,21,27,28,23,21,24,22,26,29,23,22,21,24,23,28,26,0
System-20_1,20,23,21,27,27,29,28,23,29,29,26,26,26,28,27,22,23,21,24,20,25,22,27,29,0
System-20_2,23,27,20,20,23,29,23,26,24,28,21,28,22,24,22,24,29,29,20,21,23,29,24,27,0
System-20_3,23,22,25,23,23,20,28,22,28,26,21,29,24,29,24,21,29,27,23,22,21,27,27,21,0
System-20_4,29,28,20,20,26,24,28,22,27,22,23,23,28,23,29,29,24,25,24,20,25,23,22,22,0
System-20_5,23,24,26,26,23,26,21,28,22,29,27,29,21,29,25,26,24,25,24,23,22,20,26,21,0
System-20_6,21,24,27,29,20,24,20,25,25,29,29,25,25,29,23,29,25,25,26,24,29,22,25,28,0
System-20_7,23,23,27,23,23,27,20,21,26,27,29,23,24,28,25,20,25,21,20,23,22,23,25,26,0
System-20_8,21,29,24,20,23,21,21,22,21,27,26,29,28,20,22,28,22,20,28,29,26,26,22,22,0
System-20_9,21,29,28,26,23,28,21,25,27,24,28,29,26,26,27,28,26,29,21,23,23,24,24,23,0
System-21_0,26,24,26,29,20,28,21,27,22,21,24,22,22,28,26,27,21,22,21,24,24,20,28,22,0
System-21_1,21,20,25,23,26,29,21,24,21,24,27,27,21,22,26,28,20,21,25,26,23,28,28,23,0
System-21_2,25,24,29,28,24,26,26,21,20,27,29,23,25,29,26,26,20,23,20,25,26,20,29,22,0
System-21_3,26,28,25,29,23,26,24,29,27,23,21,29,20,21,28,26,28,24,21,22,27,25,29,20,0
System-21_4,22,27,26,25,21,25,25,21,21,29,24,28,27,23,27,21,21,26,28,25,23,28,29,23,0
System-21_5,21,27,22,27,22,29,21,21,22,28,26,23,21,22,24,23,24,25,24,23,23,24,21,27,0
System-21_6,28,24,20,21,24,24,29,21,26,22,24,29,25,25,25,23,28,24,29,20,24,24,21,28,0
System-21_7,21,23,25,25,25,22,26,23,28,29,28,27,24,28,27,24,25,24,26,20,23,24,21,26,0
System-21_8,29,21,29,20,27,20,26,27,22,27,25,29,29,25,26,20,29,20,20,25,28,24,29,23,0
System-21_9,26,22,27,23,25,27,29,26,23,22,26,27,24,23,24,22,22,25,22,28,21,25,21,29,0
System-22_0,24,26,22,28,24,28,27,20,20,27,27,29,26,26,23,20,25,22,27,28,24,21,27,23,0
System-22_1,29,21,21,28,26,29,21,28,26,26,22,27,24,25,27,23,24,22,23,23,28,28,28,28,0
System-22_2,25,25,26,27,25,20,23,23,24,22,26,28,26,24,21,23,25,23,21,26,27,29,29,28,0
System-22_3,21,22,29,25,26,28,29,27,25,22,26,25,28,25,20,26,20,24,29,26,27,27,27,25,0
System-22_4,23,29,25,22,24,29,25,21,24,28,29,22,20,25,23,24,24,24,28,21,20,25,27,25,0
System-22_5,22,24,21,25,27,22,26,20,21,20,27,29,22,21,28,26,27,21,25,20,22,21,27,29,0
System-22_6,24,28,28,22,27,25,27,21,20,20,28,26,24,24,28,22,28,24,26,26,21,27,22,23,0
System-22_7,25,20,29,22,24,28,23,24,26,23,26,29,25,24,25,20,22,21,27,21,21,28,20,28,0
System-22_8,21,21,25,27,27,25,24,20,27,26,24,21,20,28,27,29,20,26,22,22,23,20,23,22,0
System-22_9,23,28,29,21,20,22,29,20,20,25,20,23,24,21,22,29,27,24,22,23,29,22,25,20,0
System-23_0,21,20,20,29,26,21,23,25,24,26,22,23,22,27,20,28,28,29,24,24,29,26,24,29,0
System-23_1,26,24,28,27,29,21,21,25,24,27,26,27,22,29,24,21,24,22,25,21,28,25,28,22,0
System-23_2,20,24,25,24,26,27,22,24,25,22,23,23,26,22,28,26,27,26,20,24,29,24,28,28,0
System-23_3,20,25,26,27,22,20,27,23,24,23,20,27,28,20,27,25,27,29,24,21,21,23,20,28,0
System-23_4,21,21,27,21,29,20,28,27,27,24,29,22,27,25,20,24,22,23,28,21,25,24,27,20,0
System-23_5,25,26,21,23,21,23,25,22,25,23,24,23,28,23,29,22,29,25,26,22,29,24,23,29,0
System-23_6,24,26,23,23,22,24,23,22,22,27,28,22,20,23,24,22,29,23,26,22,24,26,29,23,0
System-23_7,21,22,27,27,21,25,21,20,20,21,24,26,22,28,25,26,21,26,24,25,22,27,25,27,0
System-23_8,29,25,25,21,23,25,29,22,22,22,25,24,26,25,21,29,26,20,24,28,26,27,28,26,0
System-23_9,20,28,22,21,22,21,26,22,29,27,24,20,28,21,28,25,24,29,29,22,23,20,21,23,0
System-24_0,20,25,26,27,28,21,29,22,27,22,28,29,28,25,25,27,25,20,24,21,26,29,25,24,0
System-24_1,26,21,21,22,29,22,22,29,29,22,24,25,26,28,23,29,26,25,24,26,28,23,26,23,0
System-24_2,21,21,28,29,28,27,26,25,25,29,27,28,25,23,24,28,26,28,29,24,29,29,28,29,0
System-24_3,27,25,24,21,24,28,29,20,22,21,25,25,23,25,26,29,22,24,28,20,27,28,29,29,0
